epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,489.45,1.58794,1.61763,1.6912,1.40084,0.7254,0.34051,0.44356,0.28107,0.68704,0.33659,0.43013,0.24574,1.37885,1.44889,1.52765,1.50302,0.0097129,0.0097129,0.0097129
60,497.653,1.51938,1.59533,1.66696,1.3708,0.68126,0.36595,0.45385,0.29915,0.70477,0.34638,0.44161,0.2683,1.33577,1.47282,1.45762,1.48161,0.00970795,0.00970795,0.00970795
61,505.945,1.58546,1.65897,1.71202,1.42171,0.58287,0.35549,0.43252,0.29343,0.54004,0.35812,0.42134,0.25551,1.30574,1.47913,1.49334,1.46074,0.009703,0.009703,0.009703
62,514.122,1.57895,1.65812,1.75523,1.42399,0.61617,0.36204,0.43679,0.28957,0.60618,0.35616,0.42866,0.26637,1.35005,1.48247,1.61568,1.46902,0.00969805,0.00969805,0.00969805
63,522.29,1.55016,1.63287,1.73206,1.41829,0.71938,0.33659,0.4448,0.30532,0.65797,0.35421,0.43896,0.26598,1.33711,1.48821,1.5137,1.47071,0.0096931,0.0096931,0.0096931
64,530.536,1.53051,1.62046,1.64904,1.36882,0.59684,0.35421,0.44594,0.31444,0.57148,0.37582,0.44734,0.28008,1.32879,1.48036,1.48052,1.47038,0.00968815,0.00968815,0.00968815
65,538.885,1.46219,1.53547,1.61085,1.34335,0.6674,0.33268,0.44155,0.29477,0.68123,0.33072,0.43526,0.25991,1.36345,1.48054,1.62151,1.49822,0.0096832,0.0096832,0.0096832
66,547.394,1.53854,1.60949,1.65174,1.39209,0.6738,0.33659,0.44314,0.28741,0.81807,0.29354,0.42868,0.26921,1.36383,1.48274,1.72387,1.51534,0.00967825,0.00967825,0.00967825
67,555.789,1.589,1.64112,1.71037,1.39879,0.54015,0.39922,0.46151,0.30883,0.52748,0.38356,0.44484,0.27283,1.35808,1.45801,1.48696,1.48788,0.0096733,0.0096733,0.0096733
68,564.276,1.56467,1.63238,1.66386,1.39604,0.52947,0.37378,0.44565,0.31042,0.5147,0.37567,0.43627,0.28858,1.35631,1.42805,1.59217,1.48359,0.00966835,0.00966835,0.00966835
